epoch,loss,lr,psnr,ssim
135,517.0260443636298,0.1,16.445171,0.32606718
136,519.652409460656,0.1,16.413158,0.32144916
137,505.0891072924993,0.1,16.540884,0.32749853
138,519.4964198730678,0.1,16.398369,0.32311466
139,521.6018631050179,0.1,16.390526,0.3247279
140,505.6181068142204,0.1,16.52741,0.32791987
141,517.2503632914095,0.1,16.425575,0.3256751
142,507.95327803302047,0.1,16.524656,0.3278315
143,509.62549627722206,0.1,16.493395,0.32777187
144,500.8850928608924,0.1,16.561676,0.33035758
145,500.2639376273333,0.1,16.585083,0.33319262
146,511.5169424141287,0.1,16.47569,0.32820272
147,504.73177186760563,0.1,16.537146,0.33113685
148,509.87656674902615,0.1,16.501873,0.3312438
149,498.99521703405065,0.1,16.579369,0.33226734
150,503.8761992174277,0.1,16.555628,0.33214673
151,499.3578958990031,0.1,16.594984,0.33376846
152,499.8089583236125,0.1,16.58288,0.33567137
153,497.3308443767428,0.1,16.607868,0.33366853
154,505.8032379804993,0.1,16.531527,0.3332746
155,502.6302887643677,0.1,16.563828,0.33600366
156,491.6080005372455,0.1,16.669077,0.3387334
157,497.14373820373197,0.1,16.608774,0.33812332
158,506.1848345232439,0.1,16.520332,0.3342681
159,492.16807829939927,0.1,16.657675,0.33851746
160,493.26443171490934,0.1,16.64124,0.34031245
161,492.4076472396556,0.1,16.652145,0.3392236
162,495.15302015097546,0.1,16.6183,0.34006277
163,491.18734695388747,0.1,16.647135,0.34052494
164,497.0683321500735,0.1,16.621141,0.3391922
165,490.016000764864,0.1,16.657255,0.34082508
166,491.6600250774369,0.1,16.671923,0.34265018
167,488.81834486245805,0.1,16.673952,0.3416964
168,492.92685683752427,0.1,16.649477,0.34111068
169,488.8947607766196,0.1,16.679186,0.34283426
170,490.7654840345804,0.1,16.662323,0.3446033
171,486.2570844639631,0.1,16.718704,0.34402898
172,488.3347999641487,0.1,16.684263,0.34367144
