epoch,loss,psnr,ssim
90,6208.68701171875,15.360416,0.27295884
91,6196.35400390625,15.371451,0.27454507
92,6187.5966796875,15.379346,0.27580762
93,6178.53515625,15.387052,0.27691403
94,6168.69921875,15.39492,0.27784204
95,6158.2958984375,15.40284,0.27861664
96,6147.931640625,15.410441,0.2792988
97,6139.5947265625,15.4163065,0.27985358
98,6128.1845703125,15.426639,0.28140762
99,6118.8408203125,15.434964,0.28274882
100,6109.1845703125,15.443084,0.28392482
101,6098.7578125,15.451351,0.28491393
102,6087.8095703125,15.459626,0.2857458
103,6076.94482421875,15.467549,0.2864892
104,6066.8330078125,15.474777,0.28721043
105,6056.13671875,15.484787,0.28885922
106,6046.5126953125,15.493457,0.29036108
107,6036.42578125,15.50192,0.29164547
108,6025.2177734375,15.510716,0.29268512
109,6013.3212890625,15.519574,0.29352137
110,6001.685546875,15.527874,0.29425225
111,5990.7490234375,15.535527,0.29500023
112,5983.642578125,15.540223,0.29559746
113,5968.0224609375,15.554889,0.29778507
114,5957.77734375,15.564561,0.29961133
115,5947.7138671875,15.573338,0.3011903
116,5936.13720703125,15.582631,0.3024359
117,5923.0712890625,15.592504,0.30337003
118,5909.98486328125,15.601855,0.30410647
119,5897.9931640625,15.610044,0.30481294
120,5888.7744140625,15.616066,0.30549756
121,5873.5751953125,15.630511,0.3077298
122,5862.3935546875,15.641003,0.30973303
123,5851.505859375,15.650444,0.3114666
124,5838.990234375,15.6605,0.3128289
125,5824.8984375,15.671222,0.31384173
126,5810.8828125,15.681323,0.31464368
127,5798.083984375,15.69015,0.3154317
128,5785.9873046875,15.698669,0.3163966
129,5774.8046875,15.707119,0.3175413
130,5758.4072265625,15.723792,0.32039472
131,5748.3134765625,15.7336645,0.32292727
132,5737.86474609375,15.742534,0.32492855
133,5722.8916015625,15.754468,0.32626393
134,5705.19189453125,15.767957,0.32704076
135,5689.345703125,15.7789545,0.32755598
136,5676.71044921875,15.786853,0.32817912
137,5668.75927734375,15.791295,0.32884204
138,5646.3408203125,15.813355,0.33201927
139,5632.857421875,15.826523,0.3348391
140,5621.412109375,15.836525,0.33725977
141,5606.9326171875,15.848342,0.33902743
142,5588.7998046875,15.862785,0.3401525
143,5570.99951171875,15.876138,0.34089127
144,5556.1484375,15.886317,0.34163225
145,5542.4599609375,15.8959055,0.34273997
146,5526.853515625,15.908588,0.344426
147,5508.955078125,15.924721,0.34668326
148,5491.11572265625,15.94133,0.3493067
149,5475.0390625,15.955913,0.35196963
150,5459.5927734375,15.96918,0.3543547
151,5442.646484375,15.983293,0.35628042
152,5424.2138671875,15.998368,0.35777178
153,5406.0615234375,16.01278,0.35904327
